geoid,geoname,year,cvap_est
04000US01,Alabama,2004,3387950.0
04000US02,Alaska,2004,467404.0
04000US04,Arizona,2004,3785248.0
04000US05,Arkansas,2004,2039974.0
04000US06,California,2004,20898047.0
04000US08,Colorado,2004,3124213.0
04000US09,Connecticut,2004,2438647.0
04000US10,Delaware,2004,603507.0
04000US11,District of Columbia,2004,400115.0
04000US12,Florida,2004,11774537.0
04000US13,Georgia,2004,6144484.0
04000US15,Hawaii,2004,895883.0
04000US16,Idaho,2004,982484.0
04000US17,Illinois,2004,8604470.0
04000US18,Indiana,2004,4535474.0
04000US19,Iowa,2004,2179579.0
04000US20,Kansas,2004,1953440.0
04000US21,Kentucky,2004,3126714.0
04000US22,Louisiana,2004,3164912.0
04000US23,Maine,2004,1011899.0
04000US24,Maryland,2004,3826017.0
04000US25,Massachusetts,2004,4457025.0
04000US26,Michigan,2004,7187912.0
04000US27,Minnesota,2004,3663664.0
04000US28,Mississippi,2004,2107428.0
04000US29,Missouri,2004,4297867.0
04000US30,Montana,2004,710178.0
04000US31,Nebraska,2004,1246709.0
04000US32,Nevada,2004,1539904.0
04000US33,New Hampshire,2004,960021.0
04000US34,New Jersey,2004,5707140.0
04000US35,New Mexico,2004,1331560.0
04000US36,New York,2004,12765539.0
04000US37,North Carolina,2004,6194596.0
04000US38,North Dakota,2004,470815.0
04000US39,Ohio,2004,8449105.0
04000US40,Oklahoma,2004,2558352.0
04000US41,Oregon,2004,2534182.0
04000US42,Pennsylvania,2004,9362401.0
04000US72,Puerto Rico,2004,2877460.0
04000US44,Rhode Island,2004,747016.0
04000US45,South Carolina,2004,3094944.0
04000US46,South Dakota,2004,572202.0
04000US47,Tennessee,2004,4397259.0
04000US48,Texas,2004,13940910.0
04000US49,Utah,2004,1569446.0
04000US50,Vermont,2004,477126.0
04000US51,Virginia,2004,5334354.0
04000US53,Washington,2004,4306031.0
04000US54,West Virginia,2004,1437213.0
04000US55,Wisconsin,2004,4083099.0
04000US56,Wyoming,2004,390469.0
04000US01,Alabama,2005,3412336.0
04000US02,Alaska,2005,473006.0
04000US04,Arizona,2005,3869512.0
04000US05,Arkansas,2005,2053308.0
04000US06,California,2005,21262289.0
04000US08,Colorado,2005,3194858.0
04000US09,Connecticut,2005,2452791.0
04000US10,Delaware,2005,611999.0
04000US11,District of Columbia,2005,409407.0
04000US12,Florida,2005,12018105.0
04000US13,Georgia,2005,6236790.0
04000US15,Hawaii,2005,906479.0
04000US16,Idaho,2005,999810.0
04000US17,Illinois,2005,8642617.0
04000US18,Indiana,2005,4564262.0
04000US19,Iowa,2005,2190868.0
04000US20,Kansas,2005,1964016.0
04000US21,Kentucky,2005,3144764.0
04000US22,Louisiana,2005,3190004.0
04000US23,Maine,2005,1015938.0
04000US24,Maryland,2005,3863290.0
04000US25,Massachusetts,2005,4499244.0
04000US26,Michigan,2005,7210094.0
04000US27,Minnesota,2005,3695114.0
04000US28,Mississippi,2005,2117931.0
04000US29,Missouri,2005,4322276.0
04000US30,Montana,2005,718055.0
04000US31,Nebraska,2005,1256136.0
04000US32,Nevada,2005,1576470.0
04000US33,New Hampshire,2005,967036.0
04000US34,New Jersey,2005,5743047.0
04000US35,New Mexico,2005,1344829.0
04000US36,New York,2005,12845295.0
04000US37,North Carolina,2005,6296452.0
04000US38,North Dakota,2005,478673.0
04000US39,Ohio,2005,8477661.0
04000US40,Oklahoma,2005,2580764.0
04000US41,Oregon,2005,2572605.0
04000US42,Pennsylvania,2005,9396816.0
04000US72,Puerto Rico,2005,2859406.0
04000US44,Rhode Island,2005,750426.0
04000US45,South Carolina,2005,3147845.0
04000US46,South Dakota,2005,577493.0
04000US47,Tennessee,2005,4445039.0
04000US48,Texas,2005,14266181.0
04000US49,Utah,2005,1603463.0
04000US50,Vermont,2005,478693.0
04000US51,Virginia,2005,5399247.0
04000US53,Washington,2005,4377529.0
04000US54,West Virginia,2005,1438211.0
04000US55,Wisconsin,2005,4105503.0
04000US56,Wyoming,2005,394338.0
04000US01,Alabama,2006,3436722.0
04000US02,Alaska,2006,478609.0
04000US04,Arizona,2006,3953776.0
04000US05,Arkansas,2006,2066643.0
04000US06,California,2006,21626530.0
04000US08,Colorado,2006,3265504.0
04000US09,Connecticut,2006,2466935.0
04000US10,Delaware,2006,620492.0
04000US11,District of Columbia,2006,418699.0
04000US12,Florida,2006,12261673.0
04000US13,Georgia,2006,6329096.0
04000US15,Hawaii,2006,917076.0
04000US16,Idaho,2006,1017136.0
04000US17,Illinois,2006,8680765.0
04000US18,Indiana,2006,4593050.0
04000US19,Iowa,2006,2202156.0
04000US20,Kansas,2006,1974592.0
04000US21,Kentucky,2006,3162815.0
04000US22,Louisiana,2006,3215097.0
04000US23,Maine,2006,1019977.0
04000US24,Maryland,2006,3900563.0
04000US25,Massachusetts,2006,4541464.0
04000US26,Michigan,2006,7232276.0
04000US27,Minnesota,2006,3726564.0
04000US28,Mississippi,2006,2128434.0
04000US29,Missouri,2006,4346686.0
04000US30,Montana,2006,725931.0
04000US31,Nebraska,2006,1265563.0
04000US32,Nevada,2006,1613035.0
04000US33,New Hampshire,2006,974051.0
04000US34,New Jersey,2006,5778955.0
04000US35,New Mexico,2006,1358098.0
04000US36,New York,2006,12925050.0
04000US37,North Carolina,2006,6398308.0
04000US38,North Dakota,2006,486530.0
04000US39,Ohio,2006,8506218.0
04000US40,Oklahoma,2006,2603177.0
04000US41,Oregon,2006,2611027.0
04000US42,Pennsylvania,2006,9431231.0
04000US72,Puerto Rico,2006,2841352.0
04000US44,Rhode Island,2006,753835.0
04000US45,South Carolina,2006,3200745.0
04000US46,South Dakota,2006,582784.0
04000US47,Tennessee,2006,4492819.0
04000US48,Texas,2006,14591453.0
04000US49,Utah,2006,1637479.0
04000US50,Vermont,2006,480260.0
04000US51,Virginia,2006,5464139.0
04000US53,Washington,2006,4449026.0
04000US54,West Virginia,2006,1439209.0
04000US55,Wisconsin,2006,4127907.0
04000US56,Wyoming,2006,398208.0
04000US01,Alabama,2007,3430110.0
04000US02,Alaska,2007,479940.0
04000US04,Arizona,2007,4087550.0
04000US05,Arkansas,2007,2067620.0
04000US06,California,2007,21942930.0
04000US08,Colorado,2007,3364440.0
04000US09,Connecticut,2007,2460490.0
04000US10,Delaware,2007,623675.0
04000US11,District of Columbia,2007,430110.0
04000US12,Florida,2007,12534075.0
04000US13,Georgia,2007,6475880.0
04000US15,Hawaii,2007,907520.0
04000US16,Idaho,2007,1036205.0
04000US17,Illinois,2007,8733405.0
04000US18,Indiana,2007,4607965.0
04000US19,Iowa,2007,2206630.0
04000US20,Kansas,2007,1983025.0
04000US21,Kentucky,2007,3174290.0
04000US22,Louisiana,2007,3229245.0
04000US23,Maine,2007,1019490.0
04000US24,Maryland,2007,3933010.0
04000US25,Massachusetts,2007,4621480.0
04000US26,Michigan,2007,7327820.0
04000US27,Minnesota,2007,3761630.0
